name,Institution,Analyst,Compliant Prosumers,Non-Compliant Prosumers,totalut,endures,participation,efficiency,equity
analystpower:1:centralised:mc,1.8000000000002658,61.699999999998035,101.81263999999916,101.81263999999916,1081.6263999999906,1.0,1.0,0.6443520726231856,0.8497226350739393
analystpower:1:collective:mc,-4.08999999999992,278.77999999999577,79.24086000000007,79.24086000000007,1067.0985999999962,0.85,1.0,0.6415942149061445,0.24488158436013907
analystpower:1:fullmarket:mc,-0.1989999999999996,429.66599999999113,56.259980000000226,56.259980000000226,988.2757999999927,1.0,1.0,0.6234093777246825,0.0
basepower:1:centralised,1.8000000000002745,61.69999999999806,101.83461999999922,101.83461999999922,1081.8461999999906,1.0,1.0,0.6443986352055339,0.8497392226158934
basepower:1:collective,0.030000000000162032,57.849999999999426,97.42429999999949,97.42429999999949,1032.1229999999946,1.0,1.0,0.6358871139155801,0.840395823305457
basepower:1:fullmarket:mc,-0.6016000000000014,105.77999999999821,83.81074000000031,83.81074000000031,935.8714000000018,0.96,0.9245283018867925,0.6202459666211481,0.7399719721935538
initpower:1:centralised:mc,704.7000000000016,-2.199999999999592,38.21580000000015,38.21580000000015,1084.6580000000042,1.0,1.0,0.6482311753477357,0.0
initpower:1:collective:mc,0.1600000000001463,54.21499999999977,98.3453599999996,98.3453599999996,1037.828599999995,1.0,1.0,0.6368888523957162,0.8249367345926846
initpower:1:fullmarket:mc,-0.5100000000000002,104.56399999999789,84.86796000000031,84.86796000000031,946.1436000000018,0.97,1.0,0.6131273849044262,0.7502541746306648
prosumerpower:1:centralised:10:mc,1.3000000000001837,64.19999999999798,,97.87503999999923,1044.2503999999913,1.0,1.0,0.6381971854674546,0.8691732054342934
prosumerpower:1:centralised:3:mc,-1.0999999999997987,62.69999999999803,100.80185714285635,100.93806666666588,1070.02719999999,1.0,1.0,0.6424555540131656,0.8560036609397665
prosumerpower:1:centralised:6:mc,0.4000000000002247,63.29999999999797,99.46509999999924,99.84966666666591,1060.6583999999905,1.0,1.0,0.6410135167476239,0.8612230518776386
prosumerpower:1:collective:10:mc,5.855000000000365,-6.969999999999972,,11.5907,114.79200000000034,1.0,0.5652173913043478,0.3917922673656625,0.0
prosumerpower:1:collective:3:mc,-1.0449999999997963,43.070000000001,94.24439999999956,94.04966666666628,983.8847999999971,1.0,1.0,0.6278840739233712,0.7828624434322465
prosumerpower:1:collective:6:mc,1.2400000000001508,11.530000000000028,76.54564999999985,79.24429999999985,794.4183999999988,1.0,0.9130434782608695,0.6007769384438717,0.5597873640395785
prosumerpower:1:fullmarket:10:mc,-4.8966,-8.942000000000004,,42.35607999999998,368.9627999999997,0.52,0.4339622641509434,0.5911323135566555,0.0
prosumerpower:1:fullmarket:3:mc,-0.12999999999999978,43.69399999999881,70.7229999999999,142.3318000000002,962.4503999999977,1.0,1.0,0.6189589069850723,0.19368288032935865
prosumerpower:1:fullmarket:6:mc,-0.1535000000000009,21.513999999999534,42.920600000000064,93.7042,752.8866000000008,0.98,0.8113207547169812,0.7550107472362749,0.0
